ChEMBL ID,Smiles,IC50 (nM),pIC50
CHEMBL1818917,CC(=O)NC(CC(=O)c1ccccc1)c1cccc2ccccc12,59000,4.229147988
CHEMBL518362,Cc1cc(-c2n[nH]c(-c3ccc(OCC4COC(C)(C)O4)c(C#N)c3)n2)ccn1,60000,4.22184875
CHEMBL4093774,COc1ccc(Nc2ncnc3c2C(c2ccc(Br)cc2)c2c(c(=O)oc4ccccc24)O3)cc1,60000,4.22184875
CHEMBL4092564,COc1ccc(Nc2ncnc3c2C(c2ccc(O)c(OC)c2)c2c(n[nH]c2C)O3)cc1,60000,4.22184875
CHEMBL4078104,COc1ccc(Nc2ncnc3c2C(c2cccc([N+](=O)[O-])c2)C2=C(CCCC2=O)O3)cc1,60000,4.22184875
CHEMBL5209439,CCNC(=O)OCC1=CC[C@@H]2C(C(=O)OC)=COC(OC(=O)NCC)[C@H]12,61220,4.213106675
CHEMBL193585,CC(=O)N1N=C(c2ccccc2)CC1c1ccccc1,61400,4.211831629
CHEMBL460031,O=C(O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2C(CO)=CC[C@H]12,62160,4.206488994
CHEMBL1818932,CC(=O)NC(CC(=O)c1ccccc1)c1ccco1,63000,4.200659451
CHEMBL5196516,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3nn[nH]n3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,63860,4.194771086
CHEMBL4086016,COc1ccc(Nc2ncnc3c2C(c2ccc([N+](=O)[O-])cc2)c2c(c(=O)oc4ccccc24)O3)cc1,64000,4.193820026
CHEMBL4090133,COc1ccc(Nc2ncnc3c2C(c2ccc(OC)c(OC)c2)c2c(n[nH]c2C)O3)cc1,64000,4.193820026
CHEMBL462498,COCCOc1ccc(-c2nc(-c3ccnc(C)c3)n[nH]2)cc1C#N,64000,4.193820026
CHEMBL1684639,COc1ccc(C2CC(c3ccc(Br)cc3)=NN2C(C)=O)cc1OC,64100,4.19314197
CHEMBL1818933,CC(=O)NC(CC(=O)c1ccccc1)c1cccs1,65000,4.187086643
CHEMBL4073073,COc1ccc(Nc2ncnc3c2C(c2cccc([N+](=O)[O-])c2)c2c(c(=O)oc4ccccc24)O3)cc1,65000,4.187086643
CHEMBL5408269,Nn1c(S)nnc1-c1cc(-c2ccccc2)nn1Cc1ccccc1,65400,4.184422252
CHEMBL1684641,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc2c(c1)OCO2,66300,4.178486472
CHEMBL1209915,COc1ccc(C2CC(c3ccc(Br)cc3)=NN2C(C)=O)cc1,66500,4.177178355
CHEMBL4096157,COc1ccc(Nc2ncnc3c2C(c2ccc([N+](=O)[O-])cc2)C2=C(CCCC2=O)O3)cc1,67000,4.173925197
CHEMBL4071780,COc1ccc(Nc2ncnc3c2C(c2ccc(O)c(O)c2)c2c(n[nH]c2C)O3)cc1,68000,4.167491087
CHEMBL1818942,CC(=O)Nc1cccc(C(=O)CC(/C=C/c2ccccc2)NC(C)=O)c1,69200,4.159893906
CHEMBL5195680,CC(C)CC(=O)OCC1=CC[C@@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](COC(=O)CC(C)C)[C@@H](OC(=O)CC(C)C)[C@H](OC(=O)CC(C)C)[C@H]3OC(=O)CC(C)C)[C@H]12,69740,4.156518057
CHEMBL1542147,CC(=O)N1N=C(c2ccccc2)CC1c1ccc2c(c1)OCO2,70800,4.149966742
CHEMBL1209917,CC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccccc1,71300,4.14691047
CHEMBL32147,O=C(/C=C/c1ccccc1)c1ccccc1O,71300,4.14691047
CHEMBL5403241,O=[N+]([O-])c1ccc(CSc2nnc(-c3cc(-c4ccccc4)nn3Cc3ccccc3)o2)cc1,72400,4.140261434
CHEMBL1684643,COc1ccc(C2CC(c3cccc([N+](=O)[O-])c3)=NN2C(C)=O)cc1,73300,4.134896025
CHEMBL5205775,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3ccc(C(=O)NCC(=O)O)cc3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,73580,4.133240217
CHEMBL5203165,COC(=O)C1=COC(OC(=O)Nc2ccc(C)cc2)[C@@H]2C(COC(=O)Nc3ccc(C)cc3)=CC[C@H]12,73580,4.133240217
CHEMBL1684635,CC(=O)N1N=C(c2ccccc2)CC1c1ccc(N(C)C)cc1,73600,4.133122186
CHEMBL1224508,COc1cc(C2CC(c3ccc(Br)cc3)=NN2C(C)=O)cc(OC)c1OC,74900,4.125518182
CHEMBL1684644,COc1ccc(C2CC(c3cccc([N+](=O)[O-])c3)=NN2C(C)=O)cc1OC,75200,4.123782159
CHEMBL5194782,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3ccccc3-c3ccccc3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,75530,4.121880515
CHEMBL233929,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,75900,4.119758224
CHEMBL1684646,CC(=O)N1N=C(c2cccc([N+](=O)[O-])c2)CC1c1ccc2c(c1)OCO2,76100,4.118615343
CHEMBL1209130,COc1ccc(C2CC(c3ccccc3)=NN2C(C)=O)cc1,76200,4.118045029
CHEMBL1818941,CC(=O)NC(/C=C/c1ccccc1)CC(=O)c1ccccc1,78300,4.106238238
CHEMBL1684642,CC(=O)N1N=C(c2cccc([N+](=O)[O-])c2)CC1c1ccccc1,79100,4.101823517
CHEMBL126804,O=C(/C=C/c1ccc(O)cc1)c1ccccc1O,79400,4.100179498
CHEMBL2088596,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4ccccc4F)c3)ccc21,79500,4.099632871
CHEMBL3798919,C=C1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,79600,4.099086932
CHEMBL4205350,COC(=O)c1cccc(/N=N/c2cccc(=O)c(O)c2)c1,80000,4.096910013
CHEMBL5171497,COC(=O)C1=COC(OC(=O)NC(C)C)[C@@H]2C(COC(=O)NC(C)C)=CC[C@H]12,80170,4.095988116
CHEMBL1684637,COc1cc(C2CC(c3ccccc3)=NN2C(C)=O)ccc1O,81200,4.090443971
CHEMBL562142,COc1ccc(C2CC(c3ccccc3)=NN2C(C)=O)cc1OC,83700,4.077274542
CHEMBL4286280,O=C(/C=C/c1ccc(O)c2oc(-c3ccc(O)c(O)c3)cc12)Nc1ccc(F)cc1,83810,4.076704159
CHEMBL1684638,COc1cc(C2CC(c3ccccc3)=NN2C(C)=O)cc(OC)c1OC,86400,4.063486258
CHEMBL150755,O=C(/C=C/c1ccccc1O)c1ccccc1O,87400,4.058488567
CHEMBL5182884,CC(=O)OCC1=CC[C@@H]2C(C(=O)Sc3ncc[nH]3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,87490,4.058041583
CHEMBL2088599,Cn1c2ccccc2c2cc(/C=C/C(=O)c3cccc(NC(=O)c4cccc(Br)c4)c3)ccc21,88200,4.054531415
CHEMBL4088114,O=C(/C=C/c1cccc(O)c1)c1cccc(O)c1,88300,4.054039296
CHEMBL5173322,CC(C)(C)C(=O)OCC1=CC[C@@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](COC(=O)C(C)(C)C)[C@@H](OC(=O)C(C)(C)C)[C@H](OC(=O)C(C)(C)C)[C@H]3OC(=O)C(C)(C)C)[C@H]12,91200,4.040005162
CHEMBL3799773,C=C1CC[C@]2(C(=O)O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@H](O)[C@H](O[C@@H]7O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,91300,4.039529222
CHEMBL1681820,CC(=O)N1N=C(c2ccco2)CC1c1ccc2ccccc2c1,91400,4.039053804
CHEMBL1818916,C[N+](=O)C(CC(=O)c1ccccc1)c1c2ccccc2cc2ccccc12,91600,4.038104526
CHEMBL3823220,O=C(/C=C/c1cccc(O)c1)c1ccccc1O,91800,4.037157319
CHEMBL3753041,O=C(/C=C/c1cccc(O)c1O)c1ccc(O)c(O)c1,93000,4.031517051
CHEMBL5182322,COC(=O)C1=COC(O)[C@@H]2C(CO)=CC[C@H]12,93400,4.029653124
CHEMBL9323,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,93800,4.027797162
