ChEMBL ID,Smiles,IC50 (nM),pIC50
CHEMBL3276841,Oc1cc(O)n2ncc(-c3ccc(Br)cc3)c2n1,33,7.48148606
CHEMBL4455012,Cc1nc(-c2ccc(OCC(C)C)c([N+](=O)[O-])c2)sc1C(=O)O,33.4,7.476253533
CHEMBL4557837,C=C(C)COc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1C#N,33.6,7.473660723
CHEMBL3331610,Cc1nc(-c2ccc(OCC(C)C)c([N+](=O)[O-])c2)[se]c1C(=O)O,33.7,7.472370099
CHEMBL4459977,Cc1ccc(COc2ccc(-c3ncc(C(=O)O)c(=N)[nH]3)cc2C#N)cc1,33.9,7.469800302
CHEMBL4746577,N#Cc1cc(-n2cnc(C(=O)O)c2)ccc1N1CCCC1,34.1,7.467245621
CHEMBL4753577,COc1ccc(-c2ccc(-n3cnc(C(=O)O)c3)cc2C#N)cc1,34.5,7.462180905
CHEMBL4568441,Cc1ccc(COc2ccc(-c3ncc(C(=O)O)c(=O)[nH]3)cc2C#N)cc1,35.4,7.450996738
CHEMBL3331618,Cc1nc(-c2ccc(OCc3ccccc3)c(C#N)c2)[se]c1C(=O)O,35.4,7.450996738
CHEMBL1079084,N#Cc1ccc(-c2n[nH]c(-c3ccncc3)n2)cn1,38,7.420216403
CHEMBL3276839,Oc1cc(O)n2ncc(-c3ccccc3)c2n1,38,7.420216403
CHEMBL4580263,N#Cc1cc(-c2ncc(C(=O)O)c(=O)[nH]2)ccc1OCc1ccc(F)cc1,38.2,7.417936637
CHEMBL4462774,N#Cc1cc(-c2ncc(C(=O)O)c(=O)[nH]2)ccc1OCc1ccccc1,38.7,7.412289035
CHEMBL4466452,CC(C)=CCOc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1C#N,38.8,7.411168274
CHEMBL1078559,N#Cc1cc(-c2n[nH]c(-c3ccnc(Cl)c3)n2)ccn1,39,7.408935393
CHEMBL3331612,Cc1nc(-c2ccc(OCc3ccccc3)c([N+](=O)[O-])c2)[se]c1C(=O)O,40.3,7.394694954
CHEMBL4799845,CCC(CC)Oc1ccc(-n2cnc(C(=O)O)c2)cc1C#N,40.6,7.391473966
CHEMBL354749,CC(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1Br,43,7.366531544
CHEMBL3276842,Oc1cc(O)n2ncc(-c3ccc(Cl)cc3)c2n1,43,7.366531544
CHEMBL3276840,Oc1cc(O)n2ncc(-c3cccnc3)c2n1,43,7.366531544
CHEMBL4530098,C=CCOc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,43.7,7.359518563
CHEMBL4455392,Cc1cccc(COc2ccc(NC(=O)c3ccncc3)cc2-n2cnnn2)c1,44,7.356547324
CHEMBL4217071,Cc1nn(-c2ccc(OC(C)C)c(C#N)c2)cc1C(=O)O,45,7.346787486
CHEMBL4450434,O=C(O)c1cnc(-c2ccc(OCc3cccc(Br)c3)c(-n3ccnn3)c2)[nH]c1=O,45,7.346787486
CHEMBL3331624,CCCCCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N,45.6,7.341035157
CHEMBL4078467,C=C(C)COc1ccc2c(c1)O/C(=C\c1ccc(C(=O)O)cc1)C2=O,46,7.337242168
CHEMBL4869246,CC(C)CCOc1ccc(-c2nccc(O)n2)cc1C#N,46,7.337242168
CHEMBL1080059,Cc1cc(-c2n[nH]c(-c3ccnc(SCC(C)C)c3)n2)ccn1,46,7.337242168
CHEMBL4435195,O=C(O)c1cnc(-c2ccc(OCC3CC3)c(-n3ccnn3)c2)[nH]c1=O,46.1,7.336299075
CHEMBL4758534,N#Cc1cc(-n2cnc(C(=O)O)c2)ccc1OC1CCCCC1,47.4,7.324221658
CHEMBL4560761,O=C(O)c1cnc(-c2ccc(OCc3cccc(F)c3)c(-n3ccnn3)c2)[nH]c1=O,47.7,7.321481621
CHEMBL1078762,Fc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,48,7.318758763
CHEMBL4533058,CC(C)COc1ccc(-c2nc(C(=O)O)cs2)cc1[N+](=O)[O-],48.6,7.313363731
CHEMBL3331609,CCCCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1[N+](=O)[O-],49.2,7.308034897
CHEMBL4547403,N#Cc1cc(-c2ncc(C(=O)O)c(=O)[nH]2)ccc1OCc1ccc(Cl)cc1,49.9,7.301899454
CHEMBL4589904,C#CCOc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,50,7.301029996
CHEMBL4540231,COc1cccc(COc2ccc(NC(=O)c3ccncc3)cc2-n2cnnn2)c1,50,7.301029996
CHEMBL2322161,N#Cc1cc(-c2ccnc(N)n2)ccc1OCC1CCCCC1,50,7.301029996
CHEMBL4556178,COc1ccc(COc2ccc(-c3ncc(C(=O)O)c(=O)[nH]3)cc2-n2ccnn2)cc1,50.7,7.294992041
CHEMBL4452268,COc1cccc(COc2ccc(-c3ncc(C(=O)O)c(=O)[nH]3)cc2-n2ccnn2)c1,51.6,7.287350298
CHEMBL4444577,Cc1ccccc1COc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,53,7.27572413
CHEMBL4471741,O=C(O)c1cnc(-c2ccc(OCc3ccc(F)cc3)c(-n3ccnn3)c2)[nH]c1=O,53.1,7.274905479
CHEMBL3331625,C#CCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1C#N,53.8,7.269217724
CHEMBL4554264,CC(C)CCOc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,54.1,7.266802735
CHEMBL4852807,CC(C)=COc1ccc(-c2nccc(O)n2)cc1C#N,55,7.259637311
CHEMBL4450355,O=C(O)c1cnc(-c2ccc(OCc3ccc(Br)cc3)c(-n3ccnn3)c2)[nH]c1=O,55.2,7.258060922
CHEMBL4782439,N#Cc1cc(-n2cnc(C(=O)O)c2)ccc1N1CCCCC1,55.6,7.254925208
CHEMBL4464985,C=C(C)COc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,56.9,7.244887734
CHEMBL4569775,O=C(O)c1cnc(-c2ccc(OC3CCCC3)c(-n3ccnn3)c2)[nH]c1=O,58.5,7.232844134
CHEMBL1080767,Cc1cc(-c2n[nH]c(-c3ccnc(C#N)c3)n2)ccn1,59,7.229147988
CHEMBL1080057,Cc1cc(-c2n[nH]c(-c3ccnc(-c4ccccc4)c3)n2)ccn1,59,7.229147988
CHEMBL4204327,Cc1nn(-c2ccc(N3CCCCC3)c([N+](=O)[O-])c2)cc1C(=O)O,59.6,7.22475374
CHEMBL2321880,CC(C)COc1ccc(-c2cc(O)ncn2)cc1C#N,60,7.22184875
CHEMBL2322158,N#Cc1cc(-c2ccnc(N)n2)ccc1OCc1ccccc1C(F)(F)F,60,7.22184875
CHEMBL4864318,N#Cc1cc(-c2nccc(O)n2)ccc1OCc1ccccc1F,60,7.22184875
CHEMBL4441743,CC(C)COc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1C#N,60.9,7.215382707
CHEMBL4102721,O=C(O)c1ccc(/C=C2\Oc3cc(OCc4ccccc4)ccc3C2=O)cc1,61,7.214670165
CHEMBL4086326,Cc1ccc(C)c(COc2ccc3c(c2)O/C(=C\c2ccc(C(=O)O)cc2)C3=O)c1,62,7.207608311
CHEMBL1080058,Cc1cc(-c2n[nH]c(-c3ccnc(OCC(C)C)c3)n2)ccn1,63,7.200659451
CHEMBL4777821,N#Cc1cc(-n2cnc(C(=O)O)c2)ccc1OC1CCCC1,63,7.200659451
CHEMBL4568881,O=C(O)c1cnc(-c2ccc(OCc3c(Cl)cccc3Cl)c(-n3ccnn3)c2)[nH]c1=O,63.9,7.194499142
CHEMBL4468629,CC(C)COc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,64.4,7.191114133
CHEMBL3331607,Cc1nc(-c2ccc(OCCC(C)C)c([N+](=O)[O-])c2)[se]c1C(=O)O,65.6,7.183096161
CHEMBL4878323,N#Cc1cc(-c2nccc(O)n2)ccc1OCc1ccccc1,66,7.180456064
CHEMBL4435696,COc1ccc(COc2ccc(NC(=O)c3ccncc3)cc2-n2cnnn2)cc1,67,7.173925197
CHEMBL4751134,CC(C)(C)COc1ccc(-n2cnc(C(=O)O)c2)cc1C#N,67.9,7.168130226
CHEMBL4066914,O=C(O)c1ccc(/C=C2\Oc3cc(O)ccc3C2=O)cc1,68,7.167491087
CHEMBL4468571,O=C(O)c1cnc(-c2ccc(OCC3CCCCC3)c(-n3ccnn3)c2)[nH]c1=O,68.3,7.165579296
CHEMBL4876692,CC(C)COc1ccc(-c2nccc(O)n2)cc1C#N,69,7.161150909
CHEMBL4064851,O=C(O)c1ccc(/C=C2\Oc3cc(OCc4cccc5ccccc45)ccc3C2=O)cc1,69,7.161150909
CHEMBL4473716,O=C(O)c1cnc(-c2ccc(OCc3ccc(Cl)cc3)c(-n3ccnn3)c2)[nH]c1=O,69.1,7.160521953
CHEMBL4555756,CC(C)=CCOc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,69.2,7.159893906
CHEMBL4871609,N#Cc1cc(-c2nccc(O)n2)ccc1OCC1CCCCC1,73,7.13667714
CHEMBL4589345,CC(C)Oc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,73.7,7.132532512
CHEMBL4747820,CCC(C)Oc1ccc(-n2cnc(C(=O)O)c2)cc1C#N,73.9,7.131355562
CHEMBL4876318,CC(C)Oc1ccc(-c2nccc(O)n2)cc1C#N,74,7.13076828
CHEMBL4746211,COc1cccc(-c2ccc(-n3cnc(C(=O)O)c3)cc2C#N)c1,74.4,7.128427064
CHEMBL4860216,N#Cc1cc(-c2nccc(O)n2)ccc1OCc1ccc(F)cc1,75,7.124938737
CHEMBL4867256,N#Cc1cc(-c2nccc(O)n2)ccc1OCc1cccc(F)c1,77,7.113509275
CHEMBL4878223,Cc1ccc(COc2ccc(-c3nccc(O)n3)cc2C#N)cc1,79,7.102372909
CHEMBL3127139,c1ccc(-c2nn3c(-c4cnccn4)nnc3s2)cc1,79.43,7.100015437
CHEMBL2322156,CC(C)COc1ccc(-c2ccnc(N)n2)cc1C#N,80,7.096910013
CHEMBL4094987,COc1ccc2c(c1)O/C(=C\c1ccc(C(=O)O)cc1)C2=O,80,7.096910013
CHEMBL2322159,N#Cc1cc(-c2ccnc(N)n2)ccc1OCc1ccc(F)cc1C(F)(F)F,80,7.096910013
CHEMBL4583966,C=CCOc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1C#N,81.1,7.090979146
CHEMBL3331608,CCOc1ccc(-c2nc(C)c(C(=O)O)[se]2)cc1[N+](=O)[O-],82.5,7.083546051
CHEMBL4532187,O=C(O)c1cnc(-c2ccc(OCc3ccc(Cl)cc3Cl)c(-n3ccnn3)c2)[nH]c1=O,83.8,7.076755981
CHEMBL5424661,Cc1nn(-c2ccc(OCCC(C)C)c(C#N)c2)nc1C(=O)O,84,7.075720714
CHEMBL3276843,CC(=O)Nc1ccc(-c2cnn3c(O)cc(O)nc23)cc1,89,7.050609993
CHEMBL1081134,Cc1cc(-c2n[nH]c(-c3ccnc(Cl)c3)n2)ccn1,89,7.050609993
CHEMBL4561588,Cc1ccc(COc2ccc(-c3ncc(C(=O)O)c(=O)[nH]3)cc2-n2ccnn2)cc1,89.4,7.048662481
CHEMBL1689269,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC)cc(O)c1OC,90,7.045757491
CHEMBL4473001,CC(C)Oc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1C#N,91.6,7.038104526
CHEMBL4539857,O=C(O)c1cnc(-c2ccc(OCc3ccccc3Cl)c(-n3ccnn3)c2)[nH]c1=O,91.7,7.037630664
CHEMBL4438449,CCCCCCCCOc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,92,7.036212173
CHEMBL4453602,COc1ccc(-c2ncc(C(=O)O)c(=O)[nH]2)cc1-n1ccnn1,92,7.036212173
CHEMBL4876882,N#Cc1cc(-c2nccc(O)n2)ccc1OCC1CC1,93,7.031517051
CHEMBL4472263,O=C(Nc1ccc(OCc2ccccc2)c(-n2cnnn2)c1)c1ccncc1,94,7.026872146
CHEMBL4792314,CC(C)COc1ccc(-n2cnc(C(=O)O)c2)cc1C#N,94.5,7.024568191
CHEMBL4451046,O=C(O)c1cnc(-c2ccc(OCc3ccccc3)c(-n3ccnn3)c2)[nH]c1=O,94.5,7.024568191
CHEMBL4863740,N#Cc1cc(-c2nccc(O)n2)ccc1OCc1ccc(Br)cc1,95,7.022276395
CHEMBL3276844,Cc1ccc(-c2cnn3c(O)cc(O)nc23)cc1,96,7.017728767
CHEMBL3628197,Cc1ccc(Cc2ccc(-c3nc(C)c(C(=O)O)n3O)cc2C#N)cc1,100,7
CHEMBL3628195,CCCCCCCOc1ccc(-c2nc(C)c(C(=O)O)n2O)cc1C#N,100,7
CHEMBL4444217,N#Cc1ccc(COc2ccc(NC(=O)c3ccncc3)cc2-n2cnnn2)cc1,100,7
CHEMBL4457729,N#Cc1ccccc1COc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,110,6.958607315
CHEMBL4530455,COc1ccccc1COc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,117,6.931814138
CHEMBL5438064,O=c1[nH]c(-c2ccc(OCC3CCCCC3)c(-n3cnnn3)c2)no1,121,6.91721463
CHEMBL4483545,O=C(Nc1ccc(OC2CCCC2)c(-n2cnnn2)c1)c1ccncc1,128,6.89279003
CHEMBL1077387,c1cncc(-c2n[nH]c(-c3ccncc3)n2)c1,130,6.886056648
CHEMBL4871993,CC(C)COc1ccc(-c2nc(N)cc(O)n2)cc1C#N,130,6.886056648
CHEMBL5523385,CC(C)n1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,130,6.886056648
CHEMBL3628188,CCCOc1ccc(-c2nc(C)c(C(=O)O)n2O)cc1C#N,130,6.886056648
CHEMBL4522159,Cc1ccc(COc2ccc(NC(=O)c3ccncc3)cc2-n2cnnn2)cc1,132,6.879426069
CHEMBL5559061,N#Cc1cn(C2CCCC2)c2ccc(-c3cc(C(=O)O)no3)cc12,140,6.853871964
CHEMBL4568537,CCC(C)COc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,141,6.850780887
CHEMBL4583393,CC(C)CCOc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,145,6.838631998
CHEMBL4866811,N#Cc1cc(-c2nccc(O)n2)ccc1OCc1ccc(Cl)cc1,148,6.829738285
CHEMBL4468722,CC(C)(C)c1ccc(COc2ccc(-c3ncc(C(=O)O)c(=O)[nH]3)cc2-n2ccnn2)cc1,149,6.826813732
CHEMBL2322157,N#Cc1cc(-c2ccnc(N)n2)ccc1OCc1ccc(F)cc1,150,6.823908741
CHEMBL4097460,O=C(O)COc1ccc2c(c1)O/C(=C\c1ccc(C(=O)O)cc1)C2=O,150,6.823908741
CHEMBL4584553,CCCCCCOc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,153,6.815308569
CHEMBL4536160,Cc1ccc(COc2ccc(-c3nc(C)c(C(=O)O)c(=O)[nH]3)cc2C#N)cc1,159,6.798602876
CHEMBL2322164,COc1ccc(-c2cc(O)nc(N)n2)cc1C#N,160,6.795880017
CHEMBL4548828,CC(C)COc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,165,6.782516056
CHEMBL1078978,c1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,170,6.769551079
CHEMBL1079103,Cc1cc(-c2nc(-c3ccc(OCC(C)C)nc3)n[nH]2)ccn1,170,6.769551079
CHEMBL3628189,Cc1nc(-c2ccc(OC(C)C)c(C#N)c2)n(O)c1C(=O)O,170,6.769551079
CHEMBL1080056,CSc1cc(-c2nc(-c3ccnc(C)c3)n[nH]2)ccn1,170,6.769551079
CHEMBL4448296,CCC(C)Oc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,171,6.76700389
CHEMBL4483371,CC(=O)Oc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,173,6.761953897
CHEMBL4466230,CCCCCOc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,174,6.759450752
CHEMBL4857520,COc1ccc(-c2nccc(O)n2)cc1C#N,179,6.747146969
CHEMBL4452160,Cc1nc(-c2ccc(OCc3ccc(Br)cc3)c(C#N)c2)[nH]c(=O)c1C(=O)O,185.4,6.73189027
CHEMBL5505769,CC(C)=Cn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,190,6.721246399
CHEMBL4853506,COc1ccc(COc2ccc(-c3nccc(O)n3)cc2C#N)cc1,193,6.714442691
CHEMBL4442230,CC(C)(C)c1ccc(COc2ccc(-c3ncc(C(=O)O)c(=O)[nH]3)cc2C#N)cc1,197,6.705533774
CHEMBL4790927,CC(C)Oc1ccc(-n2cnc(C(=O)O)c2)cc1C#N,197.9,6.703554206
CHEMBL4299614,C[C@H]1O[C@@H](O[C@H]2[C@H](OC[C@]3(C)[C@@H]4CC[C@]5(C)[C@H](CC=C6[C@@H]7C[C@](C)(O)[C@@H](O)C[C@]7(C(=O)O)CC[C@]65C)[C@@]4(C)CC[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,200,6.698970004
CHEMBL5505860,N#Cc1cn(Cc2ccccc2Cl)c2ccc(-c3cc(C(=O)O)no3)cc12,200,6.698970004
CHEMBL4851351,N#Cc1cc(-c2nc(N)cc(O)n2)ccc1OCc1ccccc1,209,6.679853714
CHEMBL4088219,COc1cccc(COc2ccc(-n3cc(C(=O)O)nn3)cc2C#N)c1,210,6.677780705
CHEMBL161957,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1,220,6.657577319
CHEMBL4790343,CCOc1ccc(-n2cnc(C(=O)O)c2)cc1C#N,226.3,6.645315446
CHEMBL5523519,CC(C)Cn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,240,6.619788758
CHEMBL5558521,N#Cc1cn(C2CCC2)c2ccc(-c3cc(C(=O)O)no3)cc12,250,6.602059991
CHEMBL5517883,Cc1ccccc1Cn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,260,6.585026652
CHEMBL4858619,CC(C)COc1ccc(-c2nccc(N)n2)cc1C#N,262,6.581698709
CHEMBL4565144,CCCCOc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,264,6.578396073
CHEMBL1644702,COc1ccc(OCc2nn3c(=O)cc(C)nc3s2)cc1,269,6.57024772
CHEMBL5555750,N#Cc1cn(CC2CCCC2)c2ccc(-c3cc(C(=O)O)no3)cc12,270,6.568636236
CHEMBL4873518,N#Cc1cc(-c2nc(N)cc(O)n2)ccc1OCC1CCCCC1,275,6.560667306
CHEMBL4857117,CC(C)(C)c1ccc(COc2ccc(-c3nccc(O)n3)cc2C#N)cc1,282,6.549750892
CHEMBL4160962,N#Cc1ccccc1COc1ccc(NC(=O)c2ccncc2)cc1C#N,300,6.522878745
CHEMBL1079001,Cc1cc(-c2n[nH]c(-c3ccnc(C)c3)n2)ccn1,310,6.508638306
CHEMBL5555698,N#Cc1cn(Cc2ccccc2F)c2ccc(-c3cc(C(=O)O)no3)cc12,310,6.508638306
CHEMBL5555351,CCCn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,320,6.494850022
CHEMBL1644704,Cc1cc(=O)n2nc(COc3ccccc3C)sc2n1,326,6.4867824
CHEMBL4873731,N#Cc1cc(-c2nccc(N)n2)ccc1OCc1ccccc1,347,6.459670525
CHEMBL3274312,O=[N+]([O-])c1cnc(-c2ccncc2)[nH]1,350,6.455931956
CHEMBL1165740,CC(C)COc1ccc(-c2cc(C(=O)O)no2)cc1C#N,360,6.443697499
CHEMBL4792232,N#Cc1cn(C2CCCC2)c2ccc(-c3noc(=O)[nH]3)cc12,360,6.443697499
CHEMBL5517708,CC(C)CCn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,380,6.420216403
CHEMBL4751189,N#Cc1cc(-c2c[nH]c(C(=O)O)n2)ccc1OCC1CCCC1,387,6.412289035
CHEMBL5532411,C=CCn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,390,6.408935393
CHEMBL3127140,O=c1[nH]ccc2nc(-c3cccc(C(F)(F)F)c3)cn12,398.11,6.399996913
CHEMBL2322153,CC(C)COc1ccc(-c2cc(C(=O)O)nc(N)n2)cc1C#N,400,6.397940009
CHEMBL2322160,N#Cc1cc(-c2ccnc(N)n2)ccc1OCC1CCC1,400,6.397940009
CHEMBL4776964,CC(C)n1cc(C#N)c2cc(-c3noc(=O)[nH]3)ccc21,410,6.387216143
CHEMBL435703,COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,460,6.337242168
CHEMBL4216423,O=c1cccc(/N=N/c2cccc([N+](=O)[O-])c2)cc1O,460,6.337242168
CHEMBL1641632,Cc1cc(=O)n2nc(COc3ccc(Cl)cc3)sc2n1,461,6.336299075
CHEMBL3274327,N#Cc1nc(-c2ccncc2)[nH]c1C(N)=O,500,6.301029996
CHEMBL3628187,COc1ccc(-c2nc(C)c(C(=O)O)n2O)cc1C#N,501.19,6.299997603
CHEMBL4751933,CC(C)COc1ccc(-c2c[nH]c(C(=O)O)n2)cc1C#N,510,6.292429824
CHEMBL4864825,N#Cc1cc(-c2nccc(N)n2)ccc1OCC1CCCCC1,539,6.268411235
CHEMBL4458786,Cc1nc(-c2ccc(OCCC(C)C)c(C#N)c2)[nH]c(=O)c1C(=O)O,540,6.26760624
CHEMBL5555569,CCCCn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,540,6.26760624
CHEMBL5517732,CCn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,560,6.251811973
CHEMBL4441574,C=C(C)COc1ccc(-c2nc(C)c(C(=O)O)c(=O)[nH]2)cc1C#N,567.7,6.245881106
CHEMBL5532111,CC#Cn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,570,6.244125144
CHEMBL1079104,CC(C)COc1ccc(-c2n[nH]c(-c3ccnc(C#N)c3)n2)cn1,590,6.229147988
CHEMBL1164192,N#Cc1cc(-c2cc(C(=O)O)no2)ccc1OCc1ccccc1,590,6.229147988
CHEMBL5542506,CCCCCn1cc(C#N)c2cc(-c3cc(C(=O)O)no3)ccc21,600,6.22184875
CHEMBL4171577,COc1ccc(COc2ccc(NC(=O)c3ccncc3)cc2C#N)cc1,600,6.22184875
CHEMBL5532428,N#Cc1cn(Cc2ccc(F)cc2)c2ccc(-c3cc(C(=O)O)no3)cc12,600,6.22184875
CHEMBL4069614,O=Cc1ccccc1OCc1cn(Cc2ccc3c(c2)C(=O)c2ccccc2C3=O)nn1,600,6.22184875
CHEMBL4456880,CC(C)Oc1ccc(NC(=O)c2ccncc2)cc1-n1cnnn1,603,6.219682688
CHEMBL1644703,Cc1cc(=O)n2nc(COc3ccccc3Br)sc2n1,603,6.219682688
CHEMBL5407581,N#Cc1cn(C2CCCC2)c2ccc(NC(=O)c3ccc4[nH]cnc4c3)cc12,620,6.207608311
CHEMBL359819,O=c1cc(-c2ccc(F)cc2)oc2c1ccc1ccccc12,620,6.207608311
CHEMBL4560278,O=C(O)c1cnc(-c2ccc(O)c(-n3ccnn3)c2)[nH]c1=O,629,6.201349355
CHEMBL4104394,CCCCCCCCOc1ccc(-n2cc(C(=O)O)nn2)cc1C#N,630,6.200659451
CHEMBL1165707,N#Cc1cc(-c2cc(C(=O)O)no2)ccc1OCc1ccc(Cl)cc1,630,6.200659451
CHEMBL1644706,Cc1cc(=O)n2nc(COc3ccc(Cl)c(C)c3)sc2n1,634,6.197910742
CHEMBL4240082,CC(C)CCOc1ccc(-c2nc(-c3ccncc3)cn2O)cc1C#N,640,6.193820026
CHEMBL172687,CN(C)CCOc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,700,6.15490196
CHEMBL5187373,COc1cccc(Cn2cc(COc3ccc(F)cc3C=O)nn2)c1,700,6.15490196
CHEMBL4096868,COc1ccc(COc2ccc(-n3cc(C(=O)O)nn3)cc2C#N)cc1,720,6.142667504
CHEMBL5397912,COc1cc(OC)c(C(=O)/C=C/c2ccccc2F)c(O)c1C(=O)/C=C/c1ccccc1F,728,6.137868621
CHEMBL4797193,CC(C)Oc1ccc(-c2c[nH]c(C(=O)O)n2)cc1C#N,750,6.124938737
CHEMBL4080364,COc1ccccc1COc1ccc(-n2cc(C(=O)O)nn2)cc1C#N,760,6.119186408
CHEMBL4172836,N#Cc1cc(NC(=O)c2ccncc2)ccc1OCc1ccc(Cl)cc1,800,6.096910013
CHEMBL4096778,O=Cc1cc(F)ccc1OCc1cn(Cc2ccc3c(c2)C(=O)c2ccccc2C3=O)nn1,800,6.096910013
CHEMBL4797238,N#Cc1cn(C2CCCC2)c2cc(-c3noc(=O)[nH]3)ccc12,820,6.086186148
CHEMBL4069651,N#Cc1ccc(COc2ccc(-n3cc(C(=O)O)nn3)cc2C#N)cc1,850,6.070581074
CHEMBL4790472,N#Cc1cn(CC2CC2)c2ccc(-c3noc(=O)[nH]3)cc12,880,6.055517328
CHEMBL4164929,N#Cc1cc(NC(=O)c2ccncc2)ccc1OCc1ccccc1,900,6.045757491
CHEMBL5192575,COc1ccccc1Cn1cc(COc2ccc(F)cc2C=O)nn1,940,6.026872146
CHEMBL4077721,N#Cc1cc(-n2cc(C(=O)O)nn2)ccc1OCc1ccc(Cl)cc1,940,6.026872146
CHEMBL4788396,CCOc1ccc(-c2c[nH]c(C(=O)O)n2)cc1C#N,948,6.023191663
CHEMBL4098314,O=C(N/N=C/c1c(O)cc(O)cc1O)c1ccncc1,960,6.017728767
CHEMBL1165487,O=C(O)c1cc(-c2ccc(OCc3ccccc3)c([N+](=O)[O-])c2)on1,970,6.013228266
CHEMBL1165002,CC(C)COc1ccc(-c2cc(C(=O)O)no2)cc1[N+](=O)[O-],1000,6
CHEMBL3274320,O=C(O)c1nc(-c2cccnc2)[nH]c1C(=O)O,1000,6
CHEMBL1164728,CC(C)(C)c1ccc(COc2ccc(-c3cc(C(=O)O)no3)cc2C#N)cc1,1010,5.995678626
CHEMBL5624881,N#Cc1ccc2c(c1)c(C(=O)Nc1scnc1C(=O)O)cn2Cc1ccccn1,1010,5.995678626
CHEMBL4776621,CC(C)CCn1cc(C#N)c2cc(-c3noc(=O)[nH]3)ccc21,1020,5.991399828
CHEMBL4786427,COc1ccc(Cn2cc(C#N)c3cc(-c4noc(=O)[nH]4)ccc32)cc1,1020,5.991399828
CHEMBL5175654,COc1cccc(Cn2cc(COc3ccccc3C=O)nn2)c1,1020,5.991399828
CHEMBL4552059,CC(C)Oc1ccc(-c2cc(C(=O)NN)c(=O)[nH]n2)cc1C#N,1030,5.987162775
CHEMBL1644707,Cc1cccc(OCc2nn3c(=O)cc(C)nc3s2)c1,1030,5.987162775
CHEMBL5558143,N#Cc1cn(Cc2ccccc2)c2ccc(-c3cc(C(=O)O)no3)cc12,1030,5.987162775
CHEMBL4066322,N#Cc1cc(-n2cc(C(=O)O)nn2)ccc1OC1CCCC1,1080,5.966576245
CHEMBL4794244,CC(C)Cn1cc(C#N)c2cc(-c3noc(=O)[nH]3)ccc21,1090,5.962573502
CHEMBL4209730,N#Cc1cccc(/N=N/c2cccc(=O)c(O)c2)c1,1100,5.958607315
CHEMBL5194371,Cc1cccc(Cn2cc(COc3ccccc3C=O)nn2)c1,1110,5.954677021
CHEMBL4799204,Cc1ccc(Cn2cc(C#N)c3cc(-c4noc(=O)[nH]4)ccc32)cc1,1140,5.943095149
