Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL5177366,,None,677.63,2,2.23,6i,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3cccc(F)c3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',28760,nM,4.54,,,UO_0000065,6.7,0.13,2.31,2.41,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,28.76
CHEMBL5184530,,None,698.68,2,2.57,6e,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3cccc4[nH]ccc34)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',17510,nM,4.76,,,UO_0000065,6.81,0.13,2.19,2.33,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,17.51
CHEMBL5194782,,None,735.74,2,3.76,6d,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3ccccc3-c3ccccc3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',75530,nM,4.12,,,UO_0000065,5.6,0.11,0.36,2.19,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,75.53
CHEMBL5203062,,None,710.69,2,2.64,6m,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3cncc4ccccc34)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',18530,nM,4.73,,,UO_0000065,6.66,0.13,2.09,2.35,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,18.53
CHEMBL5195751,,None,650.59,2,1.08,6c,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3ncco3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',1370,nM,5.86,,,UO_0000065,9.01,0.17,4.78,2.74,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,1.37
CHEMBL5196516,,None,651.58,2,-0.4,6l,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nc3nn[nH]n3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',63860,nM,4.2,,,UO_0000065,6.44,0.12,4.59,1.73,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,63.86
CHEMBL5174074,,None,674.66,2,1.16,6k,CC(=O)OCC1=CC[C@@H]2C(C(=O)NCc3ccncc3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',36590,nM,4.44,,,UO_0000065,6.58,0.13,3.28,2.21,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,36.59
CHEMBL5172785,,None,636.61,2,0.48,6f,CC(=O)OCC1=CC[C@@H]2C(C(=O)NCCC#N)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',15840,nM,4.8,,,UO_0000065,7.54,0.15,4.32,2.26,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,15.84
CHEMBL5193622,,None,648.62,2,1.02,6a,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nn3cccc3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',2150,nM,5.67,,,UO_0000065,8.74,0.17,4.65,2.93,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,2.15
CHEMBL5185135,,None,699.67,2,1.57,6b,CC(=O)OCC1=CC[C@@H]2C(C(=O)Nn3ncc4ccccc43)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',22810,nM,4.64,,,UO_0000065,6.63,0.13,3.07,2.25,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,22.81
CHEMBL5174840,,None,584.53,2,0.54,2a,CC(=O)OCC1=CC[C@@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',35330,nM,4.45,,,UO_0000065,7.62,0.15,3.91,2.27,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,35.33
CHEMBL5188486,,None,685.64,2,1.93,5a,CC(=O)OCC1=CC[C@@H]2C(C(=O)Oc3cccc(C#N)c3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',5150,nM,5.29,,,UO_0000065,7.71,0.15,3.36,2.53,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,5.15
CHEMBL5188118,,None,661.61,2,1.45,5b,CC(=O)OCC1=CC[C@@H]2C(C(=O)Oc3ccncc3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',9150,nM,5.04,,,UO_0000065,7.62,0.15,3.59,2.54,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,9.15
CHEMBL5194988,,None,711.67,2,2.61,5c,CC(=O)OCC1=CC[C@@H]2C(C(=O)Oc3cncc4ccccc34)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',30670,nM,4.51,,,UO_0000065,6.34,0.12,1.9,2.28,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,30.67
CHEMBL5199584,,None,650.59,2,0.3,5d,CC(=O)OCC1=CC[C@@H]2C(C(=O)On3cccn3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',8740,nM,5.06,,,UO_0000065,7.78,0.15,4.76,2.49,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,8.74
CHEMBL5171292,,None,685.73,2,1.81,4d,CC(=O)OCC1=CC[C@@H]2C(C(=O)SC3=NCCS3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',12610,nM,4.9,,,UO_0000065,7.14,0.15,3.09,2.6,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,12.61
CHEMBL5180638,,None,682.72,2,2.83,4b,CC(=O)OCC1=CC[C@@H]2C(C(=O)Sc3cccs3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',22810,nM,4.64,,,UO_0000065,6.8,0.14,1.81,2.63,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,22.81
CHEMBL5170068,,None,677.68,2,2.17,4e,CC(=O)OCC1=CC[C@@H]2C(C(=O)Sc3ccncc3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',20470,nM,4.69,,,UO_0000065,6.92,0.14,2.52,2.48,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,20.47
CHEMBL5182884,,None,666.66,2,1.49,4c,CC(=O)OCC1=CC[C@@H]2C(C(=O)Sc3ncc[nH]3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',87490,nM,4.06,,,UO_0000065,6.09,0.12,2.57,1.98,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,87.49
CHEMBL5205354,,None,690.72,2,2.91,4a,CC(=O)OCC1=CC[C@@H]2C(C(=O)SCc3ccccc3)=CO[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H]12,IC50,'=',181200,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,181.2
CHEMBL5173322,,None,794.93,3,5.67,2e,CC(C)(C)C(=O)OCC1=CC[C@@H]2C(C(=O)O)=CO[C@@H](O[C@@H]3O[C@H](COC(=O)C(C)(C)C)[C@@H](OC(=O)C(C)(C)C)[C@H](OC(=O)C(C)(C)C)[C@H]3OC(=O)C(C)(C)C)[C@H]12,IC50,'=',91200,nM,4.04,,,UO_0000065,5.08,0.1,-1.63,2.06,0,CHEMBL5123188,Inhibition of bovine XOD assessed as inhibition of uric acid formation using xanthine as substrate preincubated with enzyme for 5 mins followed by substrate addition and measured for 30 mins by microplate reader analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL5120838,1,Scientific Literature,Eur J Med Chem,2022,None,TIME = 0.5833 hr,INHIBITOR,,91.2
CHEMBL4760152,,None,345.4,0,4.41,Iva,CC(C)(C)c1ccc(-c2ccc(-n3cnc(C(=O)O)c3)cc2C#N)cc1,IC50,'=',7.2,nM,8.14,,,UO_0000065,23.57,0.43,3.73,10.32,0,CHEMBL4682684,Inhibition of bovine xanthine oxidase assessed as reduction in uric acid formation using xanthine as substrate incubated for 3 mins by microplate assay,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4680125,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 0.05 hr,INHIBITOR,,7.2
CHEMBL4793119,,None,372.43,0,4.2,1p,CC(C)(C)c1ccc(Cn2cc(C#N)c3cc(-c4noc(=O)[nH]4)ccc32)cc1,IC50,'=',1440,nM,5.84,,,UO_0000065,15.69,0.28,1.64,6.67,0,CHEMBL4767772,Inhibition of bovine xanthine oxidase assessed as reduction in uric acid formation using xanthine as substrate preincubated for 25 mins followed by substrate addition measured at first 2 mins by spectrophotometric analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4765254,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 0.45 hr,INHIBITOR,,1.44
CHEMBL1163781,,None,396.4,0,4.82,5e,CC(C)(C)c1ccc(COc2ccc(-c3cc(C(=O)O)no3)cc2[N+](=O)[O-])cc1,IC50,'=',12750,nM,4.89,,,UO_0000065,12.35,0.23,0.07,4.23,0,CHEMBL1166891,Inhibition of bovine xanthine oxidase by spectrophotometry,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1165871,1,Scientific Literature,Eur J Med Chem,2010,None,,,,12.75
CHEMBL1164728,,None,376.41,0,4.79,11e,CC(C)(C)c1ccc(COc2ccc(-c3cc(C(=O)O)no3)cc2C#N)cc1,IC50,'=',1010,nM,6,,,UO_0000065,15.93,0.29,1.21,6.22,0,CHEMBL1166891,Inhibition of bovine xanthine oxidase by spectrophotometry,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1165871,1,Scientific Literature,Eur J Med Chem,2010,None,,,,1.01
CHEMBL2322144,,None,374.44,0,4.18,12,CC(C)(C)c1ccc(COc2ccc(-c3cc(O)nc(N)n3)cc2C#N)cc1,IC50,'=',19,nM,7.72,,,UO_0000065,20.62,0.38,3.54,7.35,0,CHEMBL2327375,Inhibition of bovine xanthine oxidase-mediated uric acid production after 30 mins by spectrophotometric analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL2321685,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,0.019
CHEMBL4442230,,None,403.44,0,3.88,8k,CC(C)(C)c1ccc(COc2ccc(-c3ncc(C(=O)O)c(=O)[nH]3)cc2C#N)cc1,IC50,'=',197,nM,6.71,,,UO_0000065,16.62,0.31,2.83,5.78,0,CHEMBL4368242,Inhibition of bovine xanthine oxidase assessed as reduction in uric acid formation using xanthine as substrate preincubated with enzyme for 15 mins followed by substrate addition and measured every 30 secs for 2 mins by spectrophotometric method,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4364326,1,Scientific Literature,Eur J Med Chem,2019,None,,,,0.197
CHEMBL4468722,,None,445.48,0,3.59,8n,CC(C)(C)c1ccc(COc2ccc(-c3ncc(C(=O)O)c(=O)[nH]3)cc2-n2ccnn2)cc1,IC50,'=',149,nM,6.83,,,UO_0000065,15.32,0.28,3.24,5.55,0,CHEMBL4407808,Inhibition of bovine milk xanthine oxidase using xanthine as substrate incubated for 15 mins followed by substrate addition and measured at 30 sec interval for 2 mins by spectrophotometrically,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4406819,1,Scientific Literature,Eur J Med Chem,2019,None,,,,0.149
CHEMBL4857117,,None,359.43,0,4.6,3o,CC(C)(C)c1ccc(COc2ccc(-c3nccc(O)n3)cc2C#N)cc1,IC50,'=',282,nM,6.55,,,UO_0000065,18.22,0.33,1.95,8.29,0,CHEMBL4821451,Inhibition of bovine milk xanthine oxidase assessed as reduction in uric acid formation using xanthine as substrate preincubated for 15 mins followed by substrate addition measured for every 30 sec by spectrophotometric analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4819070,1,Scientific Literature,Bioorg Med Chem,2021,None,TIME = 0.25 hr,INHIBITOR,,0.282
CHEMBL3667860,,None,285.3,0,2.45,BDBM158054,CC(C)(C)c1nn(-c2ccc(C(=O)O)c(O)c2)cc1C#N,IC50,'=',3.2,nM,8.49,,300334,UO_0000065,29.78,0.55,6.04,8.57,0,CHEMBL3705368,Inhibition Assay: Xanthine oxidase (from bovine milk,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3652784,,None,322.37,0,3.44,BDBM121535,CC(C)(C)Cn1cc(C#N)c2cc(-n3cc(C(=O)O)cn3)ccc21,IC50,'=',5,nM,8.3,,250101,UO_0000065,25.75,0.47,4.86,9.9,0,CHEMBL3705290,Inhibition Activity: Xanthine oxidase originated from bovine milk was incubated for 3 min with test compounds,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2322167,,None,298.35,0,2.73,7,CC(C)(C)COc1ccc(-c2cc(O)nc(N)n2)cc1C#N,IC50,'=',4,nM,8.4,,,UO_0000065,28.15,0.52,5.67,7.99,0,CHEMBL2327375,Inhibition of bovine xanthine oxidase-mediated uric acid production after 30 mins by spectrophotometric analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL2321685,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,0.004
CHEMBL169526,,None,299.33,0,2.87,7d; Y-700,CC(C)(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,IC50,'=',3.5,nM,8.46,,,UO_0000065,28.25,0.52,5.59,9.59,0,CHEMBL4193976,Inhibition of bovine milk xanthine oxidoreductase pre-incubated for 3 mins followed xanthine substrate addition and measured every 1 mins for 10 mins by spectrophotometry,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4190341,1,Scientific Literature,Eur J Med Chem,2017,None,,,,3.5
CHEMBL169526,,None,299.33,0,2.87,5e,CC(C)(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,IC50,'=',5.8,nM,8.24,,,UO_0000065,27.52,0.51,5.37,9.34,0,CHEMBL822907,In vitro inhibitory concentration against Xanthine oxidase,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL1134007,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,,5.8
CHEMBL169526,,None,299.33,0,2.87,20,CC(C)(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,IC50,'=',16,nM,7.8,,,UO_0000065,26.04,0.48,4.93,8.84,0,CHEMBL4057091,Inhibition of bovine xanthine oxidase assessed as reduction in uric acid production using xanthine as substrate preincubated for 10 mins followed by substrate addition by spectrophotometric analysis,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4052752,1,Scientific Literature,Bioorg Med Chem Lett,2017,None,,,,0.016
CHEMBL169526,,None,299.33,0,2.87,20,CC(C)(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,IC50,'=',5.8,nM,8.24,,,UO_0000065,27.52,0.51,5.37,9.34,1,CHEMBL4054647,Inhibition of bovine milk xanthine-oxygen reductase using xanthine as substrate by spectrophotometric assay,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4052641,1,Scientific Literature,Eur J Med Chem,2017,None,,,,0.0058
CHEMBL4751134,,None,299.33,0,2.87,IIe,CC(C)(C)COc1ccc(-n2cnc(C(=O)O)c2)cc1C#N,IC50,'=',67.9,nM,7.17,,,UO_0000065,23.95,0.44,4.3,8.13,0,CHEMBL4682684,Inhibition of bovine xanthine oxidase assessed as reduction in uric acid formation using xanthine as substrate incubated for 3 mins by microplate assay,B,BAO_0000357,single protein format,Bos taurus,None,None,None,None,,,,CHEMBL3649,Xanthine dehydrogenase/oxidase,Bos taurus,SINGLE PROTEIN,CHEMBL4680125,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 0.05 hr,INHIBITOR,,67.9
